@relation caracteristicas

@attribute amplitude_cachorro_1 real
@attribute amplitude_cachorro_2 real
@attribute amplitude_cachorro_3 real
@attribute amplitude_gato_1 real
@attribute amplitude_gato_2 real
@attribute amplitude_gato_3 real
@attribute classe {Cachorro, Gato}

@data
0.0,0.0,0.0,0.0,0.0,0.0,Cachorro
0.0,0.0,0.0,0.0,0.0,0.0,Cachorro
0.0,0.0,0.0,0.0,0.0,0.0,Cachorro
-147.0,-958.0,-1654.0,-307.0,592.0,-300.0,Gato
298.0,530.0,691.0,708.0,559.0,310.0,Gato
0.0,0.0,0.0,0.0,0.0,0.0,Cachorro
465.0,539.0,521.0,501.0,466.0,388.0,Gato
74.0,6.0,150.0,388.0,249.0,-261.0,Gato
0.0,0.0,0.0,0.0,0.0,0.0,Cachorro
-4790.0,-4894.0,-4186.0,-3311.0,-2731.0,-2506.0,Gato
421.0,403.0,371.0,284.0,11.0,-11.0,Gato
0.0,0.0,0.0,0.0,0.0,0.0,Cachorro
102.0,93.0,212.0,249.0,220.0,265.0,Gato
0.0,0.0,0.0,0.0,0.0,0.0,Cachorro
0.0,0.0,0.0,0.0,0.0,0.0,Cachorro
120.0,81.0,10.0,19.0,69.0,-96.0,Gato
485.0,524.0,497.0,508.0,471.0,477.0,Gato
-239.0,-295.0,-289.0,-243.0,-248.0,-239.0,Gato
47.0,32.0,16.0,11.0,14.0,50.0,Cachorro
-236.0,-172.0,-404.0,-355.0,-215.0,-182.0,Gato
-249.0,-201.0,-122.0,-68.0,-167.0,-270.0,Gato
-488.0,-474.0,-466.0,-449.0,-459.0,-413.0,Gato
0.0,0.0,0.0,0.0,0.0,0.0,Cachorro
-86.0,-40.0,-144.0,-157.0,-122.0,-198.0,Gato
12.0,13.0,9.0,-3.0,-4.0,-9.0,Gato
-1447.0,940.0,4894.0,7445.0,7162.0,5387.0,Gato
0.0,0.0,0.0,0.0,0.0,0.0,Cachorro
0.0,0.0,0.0,0.0,0.0,0.0,Cachorro
365.0,-183.0,80.0,569.0,1114.0,632.0,Gato
24.0,-51.0,-33.0,80.0,145.0,158.0,Gato
-218.0,-116.0,126.0,10.0,-46.0,85.0,Gato
0.0,0.0,0.0,0.0,0.0,0.0,Cachorro
0.0,0.0,0.0,0.0,0.0,0.0,Cachorro
0.0,0.0,0.0,0.0,0.0,0.0,Cachorro
147.0,203.0,217.0,293.0,170.0,276.0,Gato
6785.0,1030.0,-8597.0,-12820.0,-8076.0,-9089.0,Gato
674.0,812.0,772.0,971.0,1073.0,683.0,Gato
41.0,26.0,14.0,3.0,-35.0,-74.0,Gato
1687.0,662.0,658.0,1016.0,421.0,-782.0,Gato
-2424.0,-1681.0,-176.0,1383.0,978.0,-515.0,Gato
-13.0,-14.0,-12.0,-12.0,-5.0,-4.0,Gato
89.0,23.0,-50.0,-50.0,84.0,113.0,Gato
-4.0,-297.0,-399.0,-333.0,-288.0,-338.0,Gato
182.0,205.0,388.0,204.0,294.0,480.0,Gato
153.0,259.0,243.0,219.0,205.0,235.0,Gato
97.0,201.0,139.0,88.0,-38.0,-174.0,Gato
-23.0,-2.0,-35.0,2.0,-65.0,-88.0,Gato
84.0,69.0,-72.0,-125.0,-255.0,-282.0,Gato
0.0,0.0,0.0,0.0,0.0,0.0,Cachorro
-45.0,-67.0,-77.0,-70.0,-82.0,-74.0,Gato
-2762.0,-1913.0,-2036.0,-2586.0,-2686.0,176.0,Gato
1.0,11.0,-21.0,-45.0,-56.0,-32.0,Gato
-18.0,-27.0,-13.0,-8.0,-3.0,-2.0,Gato
-61.0,-59.0,-59.0,-55.0,-55.0,-56.0,Gato
65.0,158.0,153.0,161.0,178.0,202.0,Gato
-37.0,-41.0,-52.0,-47.0,-42.0,-37.0,Gato
-1.0,0.0,-1.0,-1.0,0.0,-1.0,Gato
-28.0,-13.0,2.0,1.0,-4.0,-8.0,Gato
